threshold_%,H,entry,n,event_mean_%,baseline_%,excess_%,net_mean_%,p_random_day,p_holm
1.5,1,next_open,255,-0.10053676274051088,-0.03843292151404681,-0.06210384122646408,-0.20053676274051097,0.7853214678532147,1.0
1.5,1,close,255,-0.07790078729587553,0.0541745858499644,-0.13207537314583995,-0.17790078729587563,0.9473052694730527,1.0
1.5,3,next_open,184,0.09967834125021108,0.031066161223433864,0.06861218002677723,-0.00032165874978900384,0.34696530346965304,1.0
1.5,3,close,184,0.13228844825313651,0.12381665309487994,0.008471795158256579,0.03228844825313642,0.48085191480851913,1.0
1.5,5,next_open,153,0.28456351402994784,0.09494298358622692,0.18962053044372096,0.18456351402994778,0.2181781821817818,1.0
1.5,5,close,153,0.2554118426384394,0.18734500579705973,0.06806683684137968,0.15541184263843935,0.3925607439256074,1.0
1.5,10,next_open,108,0.11864126490243464,0.2999201611255943,-0.18127889622315962,0.01864126490243456,0.6785321467853215,1.0
1.5,10,close,108,0.08823384246693809,0.39282329500510804,-0.30458945253816994,-0.011766157533061995,0.7761223877612239,1.0
2.0,1,next_open,149,-0.17006801552762685,-0.036985737799382024,-0.13308227772824485,-0.270068015527627,0.9067093290670933,1.0
2.0,1,close,149,-0.0967065927122815,0.049884193303445415,-0.14659078601572692,-0.1967065927122816,0.9168083191680831,1.0
2.0,3,next_open,114,0.17987910091223494,0.03559081683015752,0.14428828408207742,0.07987910091223485,0.25447455254474555,1.0
2.0,3,close,114,0.2692881620939139,0.12255364368692273,0.14673451840699114,0.1692881620939138,0.25507449255074494,1.0
2.0,5,next_open,95,0.02173562711822335,0.1106379527729911,-0.08890232565476774,-0.07826437288177673,0.617038296170383,1.0
2.0,5,close,95,0.039654407192421845,0.1972618974248112,-0.15760749023238935,-0.06034559280757824,0.6970302969703029,1.0
2.0,10,next_open,72,0.6320469717760462,0.30171590019366773,0.33033107158237845,0.5320469717760461,0.24877512248775122,1.0
2.0,10,close,72,0.644608057938331,0.3887588984368278,0.2558491595015032,0.5446080579383309,0.30286971302869714,1.0
3.0,1,next_open,60,-0.24540941121976098,-0.03969927576762424,-0.2057101354521367,-0.34540941121976104,0.9007099290070993,1.0
3.0,1,close,60,-0.17375668246037182,0.04676319494460352,-0.22051987740497533,-0.27375668246037194,0.903009699030097,1.0
3.0,3,next_open,46,0.019009122845877455,0.03664166255610523,-0.01763253971022777,-0.08099087715412263,0.5173482651734826,1.0
3.0,3,close,46,0.0750479004209439,0.12350665828162431,-0.04845875786068041,-0.024952099579056176,0.5506449355064493,1.0
3.0,5,next_open,41,0.6938926004893813,0.10464030680973754,0.5892522936796437,0.5938926004893812,0.10158984101589841,1.0
3.0,5,close,41,0.7606601581374361,0.19118752226309998,0.5694726358743362,0.6606601581374361,0.11478852114788521,1.0
3.0,10,next_open,31,0.4550984092748932,0.3055445923430993,0.14955381693179393,0.3550984092748931,0.43175682431756823,1.0
3.0,10,close,31,0.5712509657915771,0.3923385127782158,0.17891245301336128,0.471250965791577,0.41685831416858316,1.0
percentile_5,5,next_open,21,0.00757792120245917,0.12264987417114717,-0.115071952968688,-0.09242207879754093,0.5643435656434357,1.0
vol_adj_2sigma,5,next_open,67,0.5388973366388502,0.10715062972596069,0.4317467069128895,0.4388973366388501,0.1252874712528747,1.0
